[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3870522287.53796,08/24/2022,5:04 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK242S,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.09,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3870522426.62238,299.971466064453,-70000.3515625,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,299.965698242188,299.980773925781,-70000.3515625,-70000.3515625,,,7.55376291275024,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,299.966461181641,0,4232058656,299.975323486328,,,-0.00196387117812177,0.000103901167938356,-0.0019709830116122,0.000103908701822828,0.647351264953613,0.656291425228119,33.9615631103516,0,35,4,200,-0.0299140997231007,-0.818298578262329,0.527120888233185,1,,,,,,,,,,,,,,,,
,3870522458.082,300.050415039063,-65000.3203125,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.028930664063,300.071411132812,-65000.3203125,-65000.3203125,,,7.60488605499268,,1,0,0,0,0.0138092041015625,31.7693061828613,1,1,1,300.071899414063,0,4232058752,300.060131835938,,,-0.00200266338526398,0.000105094792615796,-0.00200907889677471,0.000105101702980258,0.668347775936127,0.676890790462494,33.9453773498535,0.00130351050756872,35,4,200,0.00582066318020225,-0.706891775131226,0.6667440533638,1,,,,,,,,,,,,,,,,
,3870522488.87362,300.068115234375,-60000.40625,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.061248779297,300.080169677734,-60000.40625,-60000.40625,,,7.57886552810669,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,300.060363769531,0,4232058816,300.073568725586,,,-0.00203646368823456,0.000105961118813064,-0.00204191614703858,0.0001059670128302,0.692291617393494,0.700114369392395,33.9222869873047,,35,4,200,0.019722044467926,-0.583901822566986,0.718742311000824,1,,,,,,,,,,,,,,,,
,3870522520.58215,300.089538574219,-55000.171875,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.075927734375,300.107360839844,-55000.171875,-55000.171875,,,7.60942125320435,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,300.103149414063,0,4232058656,300.099432373047,,,-0.00206744225571748,0.000106591740180757,-0.00207189421583105,0.000106597058238894,0.720822870731354,0.727865993976593,33.8960609436035,0,35,4,200,0.0227386727929115,-0.561132729053497,0.736107110977173,1,,,,,,,,,,,,,,,,
,3870522551.38155,300.118011474609,-50000.3046875,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.106323242188,300.134674072266,-50000.3046875,-50000.3046875,,,7.65360355377197,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,300.129699707031,0,4232058720,300.126153564453,,,-0.00209915721032941,0.000107416139186639,-0.00210278044814271,0.000107420232312104,0.747080504894257,0.753411710262299,33.872501373291,0,35,4,200,0.0265587083995342,-0.537697613239288,0.752597749233246,1,,,,,,,,,,,,,,,,
,3870522582.19044,300.124816894531,-45000.25390625,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.123138427734,300.137298583984,-45000.25390625,-45000.25390625,,,7.63703536987305,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,300.123077392578,0,4232058464,300.130758666992,,,-0.00213037101704766,0.000108306485852435,-0.00213327152237097,0.000108309857410641,0.772602260112762,0.778223097324371,33.8495597839355,0.142923250794411,35,4,200,0.0299014858901501,-0.459538638591766,0.830631017684937,1,,,,,,,,,,,,,,,,
,3870522615.68902,300.165878295898,-40000.2265625,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.150268554687,300.189514160156,-40000.2265625,-40000.2265625,,,7.63922595977783,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.185546875,0,4232058752,300.178573608398,,,-0.00215990044694843,0.00010913969129991,-0.00216216899419168,0.000109142450918735,0.799837708473206,0.804817795753479,33.8271141052246,5.81610822677612,35,4,200,0.0292631033807993,-0.51823353767395,0.892721056938171,1,,,,,,,,,,,,,,,,
,3870522648.65439,300.216644287109,-35000.41796875,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.205108642578,300.238037109375,-35000.41796875,-35000.41796875,,,7.69810199737549,,1,0,0,0,0.0138092041015625,31.7693061828613,1,1,1,300.230133056641,0,4232058528,300.228265380859,,,-0.00219122877959903,0.000110184612192886,-0.0021929795691111,0.000110186807876582,0.824881434440613,0.829249918460846,33.8063812255859,0.362676948308945,35,4,200,0.029970919713378,-0.448612451553345,0.861664354801178,1,,,,,,,,,,,,,,,,
,3870522677.86134,300.208160400391,-30000.39453125,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.203277587891,300.222839355469,-30000.39453125,-30000.39453125,,,7.66499376296997,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,300.213043212891,0,4232058464,300.21510925293,,,-0.00222136676945335,0.00011124686527461,-0.00222266836381602,0.00011124843583939,0.84916228055954,0.852914690971374,33.785961151123,0,35,4,200,0.0312993675470352,-0.430138945579529,0.88326358795166,1,,,,,,,,,,,,,,,,
,3870522709.83957,300.183547973633,-25000.439453125,,,6,,,,33.6600112915039,,,10,,,,,,,,,,,,,,,,,,,,,,300.179534912109,300.19970703125,-25000.439453125,-25000.439453125,,,7.6632227897644,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.187561035156,0,4232058720,300.191702270508,,,-0.00225026703641903,0.000112296720759599,-0.00225117665252488,0.000112297765256651,0.874219357967377,0.877349019050598,33.7651252746582,0.00018387965974398,35,4,200,0.0302418619394302,-0.4110227227211,0.915986835956573,1,,,,,,,,,,,,,,,,
