[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3870437754.78232,08/23/2022,5:35 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK245S,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.6,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.65,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3870438984.65631,5.00235652923584,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,4.99769067764282,5.0024242401123,100.084869384766,100.084869384766,,,3.15279293060303,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,5.00264358520508,0,4232058720,5.00003152144583,,,0.000509804291778659,2.52766233379605E-5,0.000510551243921462,2.52771319216844E-5,0.945510983467102,0.990753352642059,30.3433074951172,2.23637198359938E-5,35,4,200,4.67296376882587E-5,-0.243158563971519,0.00349988299421966,1,,,,,,,,,,,,,,,,
,3870439006.25725,5.6002459526062,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,5.24550247192383,5.92360305786133,100.084869384766,100.084869384766,,,3.32607793807983,,1,0,0,0,0.0138092041015625,30.7917900085449,6,1,1,5.95498943328857,0,4232058880,5.59351334571838,,,0.000511234024618667,2.53475707835301E-5,0.000511982194407888,2.53480168600242E-5,0.945465981960297,0.990576207637787,30.3432559967041,0,35,4,200,5.40994296898134E-5,-0.243084415793419,0.00428886106237769,1,,,,,,,,,,,,,,,,
,3870439016.09353,6.33542346954346,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,5.95498943328857,6.67133665084839,100.084869384766,100.084869384766,,,3.45231938362122,,1,0,0,0,0.0138092041015625,30.7917900085449,6,1,1,6.71585750579834,0,4232058784,6.33593764305115,,,0.000515476271745022,2.55578895784579E-5,0.000516229372495319,2.55583939630514E-5,0.945477902889252,0.990165174007416,30.343599319458,2.2497575628222E-5,35,4,200,0.000110006520117167,-0.244382590055466,0.0055437944829464,1,,,,,,,,,,,,,,,,
,3870439025.91876,7.10036993026733,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,6.72703170776367,7.44275140762329,100.084869384766,100.084869384766,,,3.56810331344604,,1,0,0,0,0.0138092041015625,30.7917900085449,6,1,1,7.473708152771,0,4232058752,7.08983750343323,,,0.000521666271393838,2.58648092941986E-5,0.000522427336556429,2.58652978270743E-5,0.94547563791275,0.990029752254486,30.3436813354492,,35,4,200,0.000105239290860482,-0.246012449264526,0.00699716061353683,1,,,,,,,,,,,,,,,,
,3870439035.63932,7.86156153678894,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,7.49501657485962,8.19796371459961,100.084869384766,100.084869384766,,,3.67252421379089,,1,0,0,0,0.0138092041015625,31.2805480957031,6,1,1,8.22810649871826,0,4232058720,7.83829612731934,,,0.000528556801498177,2.62064269541405E-5,0.000529326529894311,2.62068888107188E-5,0.945490419864655,0.989974558353424,30.3437767028809,0,35,4,200,0.000108373948023655,-0.248009160161018,0.00838719215244055,1,,,,,,,,,,,,,,,,
,3870439045.4033,8.61270666122436,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,8.22810649871826,8.95971775054932,100.084869384766,100.084869384766,,,3.76738786697388,,1,0,0,0,0.0138092041015625,30.7917900085449,6,1,1,8.99730682373047,0,4232058720,8.59954633712769,,,0.000535890608840516,2.65699356739457E-5,0.000536670170956676,2.65704888175867E-5,0.945566177368164,0.989911675453186,30.3441181182861,5.50854969024658,35,4,200,0.000107267231214792,-0.250143766403198,0.0098324166610837,1,,,,,,,,,,,,,,,,
,3870439055.1724,9.4004955291748,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,9.03652286529541,9.73862266540527,100.084869384766,100.084869384766,,,3.85276365280151,,1,0,0,0,0,30.3030319213867,6,1,1,9.7644681930542,0,4232058880,9.36777696609497,,,0.000543704274902659,2.69572629953993E-5,0.000544492110102739,2.69577648252982E-5,0.945619702339172,0.989856421947479,30.3443546295166,,35,4,200,0.000108051186543889,-0.252507358789444,0.0113054858520627,1,,,,,,,,,,,,,,,,
,3870439064.91693,10.1405649185181,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,9.77913475036621,10.4854850769043,100.084869384766,100.084869384766,,,3.92999148368835,,1,0,0,0,0.0138092041015625,31.2805480957031,6,1,1,10.5019950866699,0,4232058752,10.1274313926697,,,0.00055197299670127,2.73671368453518E-5,0.000552773045556313,2.73677661982155E-5,0.945681750774383,0.989799618721008,30.3446388244629,,35,4,200,0.000109167063783389,-0.255068063735962,0.0128133986145258,1,,,,,,,,,,,,,,,,
,3870439074.62692,10.8864994049072,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,10.5019950866699,11.241795539856,100.084869384766,100.084869384766,,,3.99973297119141,,1,0,0,0,0.0138092041015625,31.2805480957031,6,1,1,11.2710037231445,0,4232058816,10.8802416801453,,,0.000560722601112946,2.78008652511374E-5,0.000561534131517286,2.78015455751158E-5,0.945737242698669,0.989741802215576,30.3448925018311,0.0706085190176964,35,4,200,0.00010662357090041,-0.257820546627045,0.0143475718796253,1,,,,,,,,,,,,,,,,
,3870439084.35652,11.6558866500854,100.084869384766,,,6,,,,30.5486103174982,,,10,,,,,,,,,,,,,,,,,,,,,,11.2710037231445,11.9938812255859,100.084869384766,100.084869384766,,,4.06387233734131,,1,0,0,0,0.0138092041015625,31.2805480957031,6,1,1,12.0407695770264,0,4232058656,11.636402130127,,,0.00057005398258965,2.82633935868966E-5,0.000570876484214917,2.82640935362164E-5,0.945808947086334,0.989660918712616,30.3452339172363,1.96012820197211E-6,35,4,200,0.000111073080915958,-0.260822683572769,0.0159345883876085,1,,,,,,,,,,,,,,,,
