[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3842843141.88594,10/08/2021,8:25 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK249,SAMPLE_MATERIAL
INFO,powder in VSM,SAMPLE_COMMENT
INFO,2.4,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.92,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3842844063.75025,5.00210285186768,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,4.99810981750488,5.0020489692688,100.035980224609,100.035980224609,,,4.28024244308472,,1,0,0,0,0,32.7468223571777,1,1,1,5.00229501724243,0,2084573184,5.00020575523376,,,0.0046233014930554,0.000232914609999655,0.00466624488522879,0.000232946207022867,0.859048902988434,0.957039296627045,33.1982231140137,0,35,4,200,0.000615703582298011,-1.90112817287445,0.493674606084824,1,,,,,,,,,,,,,,,,
,3842844080.47034,5.57325196266174,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,5.21832609176636,5.90281343460083,100.035980224609,100.035980224609,,,4.50517320632935,,1,0,0,0,0,32.2580642700195,6,1,1,5.92817783355713,0,2084573184,5.56534352302551,,,0.0046466587890539,0.000234090165554808,0.00468982852075953,0.00023412353869822,0.859084725379944,0.957045137882233,33.1982879638672,5.76179552078247,35,4,200,0.000727521372027695,-1.90606665611267,0.499344229698181,1,,,,,,,,,,,,,,,,
,3842844090.17043,6.30741834640503,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,5.94393682479858,6.64048147201538,100.035980224609,100.035980224609,,,4.67132949829102,,1,0,0,0,0,32.2580642700195,6,1,1,6.67089986801148,0,2084573184,6.30379934310913,,,0.00468514881059504,0.00023602585433615,0.00472862771374958,0.000236060695529721,0.85918253660202,0.957016408443451,33.1987533569336,5.17935848236084,35,4,200,0.000860585365444422,-1.91757774353027,0.506163775920868,1,,,,,,,,,,,,,,,,
,3842844099.92285,7.06033945083618,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,6.6968207359314,7.38668632507324,100.035980224609,100.035980224609,,,4.82528114318848,,1,0,0,0,0,31.7693061828613,6,1,1,7.42385816574097,0,2084573184,7.04256677627564,,,0.00473465535312676,0.000238516986762811,0.00477854032655329,0.000238552966119772,0.859266757965088,0.956963062286377,33.1991386413574,0.000205491640372202,35,4,200,0.000905299268197268,-1.93374347686768,0.514069855213165,1,,,,,,,,,,,,,,,,
,3842844109.72818,7.81649446487427,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,7.44723415374756,8.15016555786133,100.035980224609,100.035980224609,,,4.96481084823608,,1,0,0,0,0,32.2580642700195,6,1,1,8.18575477600098,0,2084573184,7.79522695541382,,,0.00478930188351225,0.000241266828219909,0.00483364567226002,0.000241304133770649,0.859354615211487,0.956939041614532,33.1994934082031,5.76189994812012,35,4,200,0.000925789761822671,-1.95252799987793,0.522226393222809,1,,,,,,,,,,,,,,,,
,3842844119.48275,8.55950021743774,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,8.18575477600098,8.90476036071777,100.035980224609,100.035980224609,,,5.09097576141357,,1,0,0,0,0,31.7693061828613,6,1,1,8.93324565887451,0,2084573184,8.54676828384399,,,0.00484822282564423,0.000244231703283259,0.00489297627572114,0.000244266543690883,0.85944938659668,0.956887900829315,33.1999702453613,0,35,4,200,0.000947178050410002,-1.97257947921753,0.53098863363266,1,,,,,,,,,,,,,,,,
,3842844129.30707,9.32577133178711,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,8.95151615142822,9.642258644104,100.035980224609,100.035980224609,,,5.20521974563599,,1,0,0,0,0,32.2580642700195,6,1,1,9.700026512146,0,2084573184,9.28915958404541,,,0.00491015230570178,0.000247348635110851,0.00495544897057229,0.000247385906575337,0.859530448913574,0.956838130950928,33.2003784179687,4.03557968139648,35,4,200,0.000968908367212862,-1.9938805103302,0.539991974830627,1,,,,,,,,,,,,,,,,
,3842844139.08462,10.0807342529297,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,9.700026512146,10.4265069961548,100.035980224609,100.035980224609,,,5.30852699279785,,1,0,0,0,0,32.2580642700195,6,1,1,10.4614419937134,0,2084573184,10.0805500030518,,,0.00497590660439777,0.000250656106908768,0.00502166934917183,0.000250691679092302,0.859666466712952,0.956844389438629,33.2009086608887,5.17962217330933,35,4,200,0.000992405693978071,-2.01673412322998,0.549521446228027,1,,,,,,,,,,,,,,,,
,3842844148.81281,10.8485841751099,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,10.4797096252441,11.1828479766846,100.035980224609,100.035980224609,,,5.4017505645752,,1,0,0,0,0,32.7468223571777,6,1,1,11.2174587249756,0,2084573184,10.8294076919556,,,0.00504454222653966,0.000254109490380818,0.00509088183060594,0.000254147436242793,0.859777927398682,0.956794738769531,33.2014122009277,0.546969950199127,35,4,200,0.00102749851066619,-2.05306077003479,0.450595229864121,1,,,,,,,,,,,,,,,,
,3842844158.53121,11.6019849777222,100.035980224609,,,6,,,,33.7073998435395,,,10,,,,,,,,,,,,,,,,,,,,,,11.2375783920288,11.9322881698608,100.035980224609,100.035980224609,,,5.48713636398315,,1,0,0,0,0.013885498046875,31.7693061828613,6,1,1,11.9663915634155,0,2084573184,11.5843995094299,,,0.00511667493857886,0.000257738587988973,0.00516355765370721,0.000257775862771339,0.859899699687958,0.956771016120911,33.2020034790039,5.76211786270142,35,4,200,0.00105167622677982,-2.07878112792969,0.460966438055038,1,,,,,,,,,,,,,,,,
