[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3870398384.88299,08/23/2022,6:39 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK249S,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,2.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.99,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3870398525.30937,300.042129516602,-70000.484375,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.033905029297,300.05322265625,-70000.484375,-70000.484375,,,7.8955774307251,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.037750244141,0,4232058656,300.043858337402,,,-0.00207689388003798,0.000111363138767286,-0.00211902274931556,0.000111402552326377,0.615919828414917,0.663532793521881,32.4917945861816,4.86546802520752,35,4,200,-0.015672231093049,-4.91629838943481,4.80868053436279,1,,,,,,,,,,,,,,,,
,3870398561.18897,300.098678588867,-65000.39453125,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.08056640625,300.118316650391,-65000.39453125,-65000.39453125,,,7.92082929611206,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,300.116790771484,0,4232058752,300.107797241211,,,-0.00211999187049286,0.000112495788328884,-0.002158528497401,0.000112532745680224,0.640046954154968,0.686589479446411,32.4589309692383,7.97035128367421E-34,35,4,200,0.00920854788273573,-0.693159401416779,0.749035775661469,1,,,,,,,,,,,,,,,,
,3870398591.07801,300.11833190918,-60000.1875,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.109283447266,300.13134765625,-60000.1875,-60000.1875,,,7.99095296859741,,1,0,0,0,0.0157928466796875,31.2805480957031,1,1,1,300.107238769531,0,4232058720,300.123901367188,,,-0.00215946028204504,0.000113489428965027,-0.0021942078023767,0.000113522041661718,0.664441287517548,0.709589660167694,32.4235458374023,0,35,4,200,0.0202871393412352,-0.621312916278839,0.778376340866089,1,,,,,,,,,,,,,,,,
,3870398623.61205,300.126586914063,-55000.3515625,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.114959716797,300.143920898438,-55000.3515625,-55000.3515625,,,8.02455711364746,,1,0,0,0,0.0145721435546875,31.2805480957031,1,1,1,300.138214111328,0,4232058688,300.135101318359,,,-0.00219647189684206,0.000114353675482711,-0.00222754749958751,0.000114383738517521,0.69057285785675,0.734545230865479,32.3873596191406,,35,4,200,0.0237081237137318,-0.627793550491333,0.878276288509369,1,,,,,,,,,,,,,,,,
,3870398656.21659,300.161987304687,-50000.31640625,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.157257080078,300.179809570313,-50000.31640625,-50000.31640625,,,8.03614139556885,,1,0,0,0,0.016326904296875,30.7917900085449,1,1,1,300.166717529297,0,4232058560,300.170941162109,,,-0.00223374442874159,0.000115335921120764,-0.00226150678941805,0.00011536523809119,0.715997397899628,0.758873403072357,32.3526229858398,,35,4,200,0.0262524485588074,-0.588513612747192,0.917868137359619,1,,,,,,,,,,,,,,,,
,3870398689.08886,300.187210083008,-45000.3984375,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.178283691406,300.209838867188,-45000.3984375,-45000.3984375,,,8.09921455383301,,1,0,0,0,0.0144195556640625,30.7917900085449,1,1,1,300.196136474609,0,4232058464,300.198428344727,,,-0.00227095178684844,0.000116397871787187,-0.00229560641720738,0.000116423394605908,0.741089820861816,0.783009350299835,32.3189277648926,INF,35,4,200,0.0278965663164854,-0.498116135597229,0.903868675231934,1,,,,,,,,,,,,,,,,
,3870398721.06591,300.178665161133,-40000.2265625,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.175933837891,300.191772460937,-40000.2265625,-40000.2265625,,,8.13021469116211,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.175994873047,0,4232058560,300.184963989258,,,-0.00230859593091342,0.000117597224084743,-0.00233047389149207,0.000117619677465924,0.764598548412323,0.80559504032135,32.2869529724121,,35,4,200,0.0305128637701273,-0.445418447256088,0.958375990390778,1,,,,,,,,,,,,,,,,
,3870398750.55509,300.12971496582,-35000.4296875,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.113952636719,300.148986816406,-35000.4296875,-35000.4296875,,,8.11658954620361,,1,0,0,0,0.0165557861328125,30.7917900085449,1,1,1,300.113159179687,0,4232058560,300.137008666992,,,-0.00234484414716407,0.000118768511268054,-0.00236399238263298,0.000118788430522918,0.788707435131073,0.82881760597229,32.2537231445313,,35,4,200,0.0315714813768864,-0.417066723108292,0.991950333118439,1,,,,,,,,,,,,,,,,
,3870398782.03004,300.126342773438,-30000.46484375,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.116790771484,300.147888183594,-30000.46484375,-30000.46484375,,,8.14774703979492,,1,0,0,0,0.0167083740234375,31.2805480957031,1,1,1,300.135894775391,0,4232058528,300.13757019043,,,-0.00237967154264455,0.000119955478123094,-0.00239645204866166,0.000119974187038647,0.81177145242691,0.851394653320312,32.2227478027344,1,35,4,200,0.0302792433649302,-0.374144405126572,0.940196216106415,1,,,,,,,,,,,,,,,,
,3870398814.56602,300.174163818359,-25000.439453125,,,6,,,,31.7899998559058,,,10,,,,,,,,,,,,,,,,,,,,,,300.160858154297,300.193969726562,-25000.439453125,-25000.439453125,,,8.21610069274902,,1,0,0,0,0.015716552734375,30.7917900085449,1,1,1,300.187469482422,0,4232058464,300.184078979492,,,-0.00241336693674313,0.000121162825488195,-0.0024279971833146,0.000121180025020248,0.833888351917267,0.873323559761047,32.1930122375488,0.000241123183513992,35,4,200,0.0303448140621185,-0.378273159265518,0.944136142730713,1,,,,,,,,,,,,,,,,
