[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3870409570.65778,08/23/2022,9:46 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK249S,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,2.2,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.99,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3870410798.03103,5.00303506851196,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,4.99835777282715,5.00309991836548,99.9748687744141,99.9748687744141,,,3.38834977149963,,1,0,0,0,0.0002288818359375,30.7917900085449,1,1,1,5.0031909942627,0,4232058688,5.00073027610779,,,0.00038845521798389,1.92434768099065E-5,0.000388468348028757,1.9243455035128E-5,0.964576840400696,0.965575873851776,30.821891784668,0,35,4,200,6.55982075841166E-5,-0.202858373522758,-0.0133062265813351,1,,,,,,,,,,,,,,,,
,3870410815.20415,5.52256751060486,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,5.14944076538086,5.8371901512146,99.9748687744141,99.9748687744141,,,3.56330585479736,,1,0,0,0,0.000152587890625,29.8142719268799,6,1,1,5.89569425582886,0,4232058752,5.49589924812317,,,0.00039069948614962,1.93547982842111E-5,0.00039071311518813,1.93547794674702E-5,0.964359045028686,0.965378403663635,30.8214817047119,0,35,4,200,8.64741450641304E-5,-0.20322160422802,-0.0121828159317374,1,,,,,,,,,,,,,,,,
,3870410825.64595,6.32247400283814,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,5.97145938873291,6.65798664093018,99.9748687744141,99.9748687744141,,,3.70207071304321,,1,0,0,0,0.000152587890625,30.7917900085449,6,1,1,6.67348861694336,0,4232058720,6.31228189468384,,,0.000399749385304351,1.98037001594128E-5,0.000399763301105918,1.98036872985389E-5,0.963557183742523,0.964542269706726,30.8216571807861,0,35,4,200,0.000175542241777293,-0.206638753414154,-0.00998726952821016,1,,,,,,,,,,,,,,,,
,3870410835.86078,7.09916853904724,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,6.73158359527588,7.42916488647461,99.9748687744141,99.9748687744141,,,3.83716154098511,,1,0,0,0,0.0002288818359375,30.7917900085449,6,1,1,7.4667534828186,0,4232058720,7.07447118759155,,,0.000414338492484766,2.0526760032872E-5,0.00041435409561733,2.0526800486577E-5,0.963138520717621,0.964118361473084,30.8215522766113,,35,4,200,0.000181993629666977,-0.211379200220108,-0.00723750330507755,1,,,,,,,,,,,,,,,,
,3870410846.11256,7.88612675666809,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,7.51214456558228,8.22331809997559,99.9748687744141,99.9748687744141,,,3.95631289482117,,1,0,0,0,0.000152587890625,30.7917900085449,6,1,1,8.26010894775391,0,4232058720,7.87454442977905,,,0.000430953727405343,2.13499085252393E-5,0.000430969755096914,2.13499359998538E-5,0.963125348091126,0.964110910892487,30.8214473724365,,35,4,200,0.000191030572750606,-0.216858044266701,-0.00446726614609361,1,,,,,,,,,,,,,,,,
,3870410856.29795,8.68256807327271,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,8.31251430511475,9.02721405029297,99.9748687744141,99.9748687744141,,,4.05907917022705,,1,0,0,0,0.000152587890625,31.2805480957031,6,1,1,9.05262184143066,0,4232058688,8.67077350616455,,,0.000448781382173483,2.22331318249396E-5,0.000448798647316944,2.22331827693493E-5,0.963106691837311,0.9640993475914,30.8213233947754,,35,4,200,0.000193671381566674,-0.222742885351181,-0.00155210506636649,1,,,,,,,,,,,,,,,,
,3870410866.46133,9.4725079536438,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,9.10426044464111,9.82377624511719,99.9748687744141,99.9748687744141,,,4.16071510314941,,1,0,0,0,0.000152587890625,30.7917900085449,6,1,1,9.84075546264648,0,4232058784,9.45543670654297,,,0.000467808281608939,2.3175786760925E-5,0.000467825262158889,2.31757854251035E-5,0.96305513381958,0.964051306247711,30.8212451934814,,35,4,200,0.000220917427213863,-0.22902338206768,0.0016196456272155,1,,,,,,,,,,,,,,,,
,3870410876.6206,10.2751317024231,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,9.89179039001465,10.6279802322388,99.9748687744141,99.9748687744141,,,4.24858856201172,,1,0,0,0,0.000152587890625,29.8142719268799,6,1,1,10.6584730148315,0,4232058784,10.2660539627075,,,0.00048786837440126,2.41694984752957E-5,0.000487885664759856,2.41694782765054E-5,0.96314948797226,0.964146077632904,30.8212814331055,,35,4,200,0.000217056629480794,-0.235720634460449,0.00476200273260474,1,,,,,,,,,,,,,,,,
,3870410886.75346,11.0791864395142,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,10.7029943466187,11.4236059188843,99.9748687744141,99.9748687744141,,,4.32622289657593,,1,0,0,0,0.000152587890625,30.7917900085449,6,1,1,11.4553785324097,0,4232058752,11.06178855896,,,0.000508635253202405,2.51982654858354E-5,0.000508653762205272,2.51982783339781E-5,0.963204979896545,0.964192032814026,30.8214569091797,5.55170774459839,35,4,200,0.000217580571188591,-0.242741286754608,0.00796846020966768,1,,,,,,,,,,,,,,,,
,3870410896.92432,11.8585729598999,99.9748687744141,,,6,,,,30.8535521203546,,,10,,,,,,,,,,,,,,,,,,,,,,11.4725561141968,12.2072257995605,99.9748687744141,99.9748687744141,,,4.39832353591919,,1,0,0,0,0.000152587890625,30.7917900085449,6,1,1,12.244589805603,0,4232058688,11.8542558670044,,,0.000530037175433688,2.62584578497413E-5,0.000530056019219548,2.62584548961904E-5,0.963287115097046,0.964270412921906,30.8215503692627,0,35,4,200,0.000213776802411303,-0.250013530254364,0.011199832893908,1,,,,,,,,,,,,,,,,
