[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3844657213.68655,10/29/2021,8:20 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK254,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,2.4,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,65.58,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3844672397.65863,299.986450195313,-70000.078125,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.983917236328,299.988159179687,-70000.078125,-70000.078125,,,7.6847767829895,,1,0,0,0,0.013885498046875,32.2580642700195,1,1,1,299.987915039063,0,4232057856,299.985687255859,,,-0.178671944226622,0.00892672024192985,-0.178712430315167,0.00892671039953764,0.941336214542389,0.945341467857361,34.6960716247559,0,35,4,200,-0.000116374816570897,-0.179583504796028,0.706334114074707,1,,,,,,,,,,,,,,,,
,3844672426.9222,299.987747192383,-65000.39453125,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.985015869141,299.988250732422,-65000.39453125,-65000.39453125,,,7.64101505279541,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,299.988067626953,0,4232057984,299.986276245117,,,-0.178504300271501,0.00891832365734911,-0.178546765076591,0.00891831857535261,0.941376149654388,0.945581138134003,34.6941909790039,,35,4,200,0.000119192511192523,-0.178289636969566,0.705417513847351,1,,,,,,,,,,,,,,,,
,3844672457.27631,299.933959960937,-60000.32421875,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.931335449219,299.935913085937,-60000.32421875,-60000.32421875,,,7.6286768913269,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,299.932006835937,0,4232057856,299.932632446289,,,-0.17832383752716,0.00890927962879879,-0.178367641539959,0.00890926203260419,0.941429555416107,0.945806860923767,34.6926231384277,0.308730661869049,35,4,200,0.000164526558364742,-0.177338138222694,0.705081224441528,1,,,,,,,,,,,,,,,,
,3844672487.79385,299.931076049805,-55000.40234375,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.928131103516,299.933715820313,-55000.40234375,-55000.40234375,,,7.6295051574707,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,299.934020996094,0,4232057696,299.929965209961,,,-0.178122837935357,0.00889911022001453,-0.178166723423862,0.00889910954270548,0.941673159599304,0.946048855781555,34.6928062438965,5.22131299972534,35,4,200,0.000189503291039728,-0.176843225955963,0.704366266727448,1,,,,,,,,,,,,,,,,
,3844672518.70912,299.941558837891,-50000.37890625,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.939331054687,299.943634033203,-50000.37890625,-50000.37890625,,,7.60463237762451,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,299.943786621094,0,4232057632,299.941549682617,,,-0.177899476970275,0.00888779236774029,-0.177942253675682,0.00888778755151548,0.941978693008423,0.946278095245361,34.6937255859375,5.22121143341064,35,4,200,0.000197586748981848,-0.176614508032799,0.703403115272522,1,,,,,,,,,,,,,,,,
,3844672548.4309,299.938323974609,-45000.3046875,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.938018798828,299.939086914063,-45000.3046875,-45000.3046875,,,7.57619619369507,,1,0,0,0,0,31.7693061828613,1,1,1,299.938507080078,0,4232057856,299.938516235352,,,-0.177649359632917,0.00887514127153098,-0.177690930025621,0.0088751281587606,0.942280352115631,0.946501314640045,34.6946754455566,0,35,4,200,0.000202935800189152,-0.176362469792366,0.703417301177978,1,,,,,,,,,,,,,,,,
,3844672579.20354,299.950469970703,-40000.32421875,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.94921875,299.951873779297,-40000.32421875,-40000.32421875,,,7.60079050064087,,1,0,0,0,0.013885498046875,33.7243423461914,1,1,1,299.951721191406,0,4232057568,299.950909423828,,,-0.177371636919722,0.00886107048983465,-0.177411042119851,0.00886104684723877,0.942662239074707,0.946714103221893,34.6965255737305,0,35,4,200,0.000212163678952493,-0.175414830446243,0.701775550842285,1,,,,,,,,,,,,,,,,
,3844672608.75629,299.968673706055,-35000.4921875,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.967895507812,299.971282958984,-35000.4921875,-35000.4921875,,,7.61540269851685,,1,0,0,0,0.013885498046875,31.7693061828613,1,1,1,299.969451904297,0,4232057472,299.969723510742,,,-0.177041205956542,0.00884437017727704,-0.177079001651416,0.00884436051334626,0.943042755126953,0.946931004524231,34.6983795166016,,35,4,200,0.000207171673537232,-0.174815878272057,0.700641930103302,1,,,,,,,,,,,,,,,,
,3844672639.64428,299.951797485352,-30000.306640625,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.951171875,299.954742431641,-30000.306640625,-30000.306640625,,,7.57786989212036,,1,0,0,0,0.0147247314453125,32.2580642700195,1,1,1,299.951446533203,0,4232058080,299.952984619141,,,-0.176657510582886,0.00882500821282445,-0.176693943471115,0.00882502226142299,0.943431973457336,0.947161376476288,34.7001876831055,,35,4,200,0.000207670673262328,-0.173894211649895,0.698526561260223,1,,,,,,,,,,,,,,,,
,3844672668.7612,299.965255737305,-25000.37890625,,,6,,,,34.7763789877002,,,1000,,,,,,,,,,,,,,,,,,,,,,299.964385986328,299.969390869141,-25000.37890625,-25000.37890625,,,7.56921148300171,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,299.966125488281,0,4232057440,299.967141723633,,,-0.176180843515394,0.00880101484390814,-0.17621549054304,0.00880102544783346,0.943786084651947,0.94736635684967,34.7019157409668,5.89083290100098,35,4,200,0.000201869392185472,-0.172581911087036,0.6974036693573,1,,,,,,,,,,,,,,,,
