[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3844657476.06856,10/29/2021,8:24 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK254,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.48,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3844658433.87617,5.00318789482117,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,4.99773359298706,5.00311708450317,100.084869384766,100.084869384766,,,3.95632839202881,,1,0,0,0,0.020904541015625,32.2580642700195,1,1,1,5.00325870513916,0,4232056832,5.00030565261841,,,0.00595481924292533,0.00029989877340949,0.00600621318606411,0.000299936157602002,0.861285150051117,0.95011705160141,33.3521728515625,,35,4,200,8.13561709946953E-5,-0.242331206798553,0.0635669305920601,1,,,,,,,,,,,,,,,,
,3844658451.09527,5.51500463485718,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,5.13854455947876,5.8401050567627,100.084869384766,100.084869384766,,,4.15952014923096,,1,0,0,0,0.017852783203125,31.7693061828613,6,1,1,5.8914647102356,0,4232056832,5.49184699058533,,,0.00597493087577457,0.000300913599301201,0.00602676166141139,0.000300962118074227,0.861238062381744,0.950126051902771,33.3519020080566,0.193056181073189,35,4,200,7.89274199632928E-5,-0.242792367935181,0.064051553606987,1,,,,,,,,,,,,,,,,
,3844658461.07636,6.26720976829529,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,5.90816783905029,6.60205221176147,100.084869384766,100.084869384766,,,4.31551504135132,,1,0,0,0,0.000152587890625,32.7468223571777,6,1,1,6.62625169754028,0,4232056832,6.24978213310242,,,0.0060047989797923,0.00030241655980572,0.00605680130710711,0.000302462096504081,0.861268877983093,0.950137317180634,33.352180480957,,35,4,200,8.87211717781611E-5,-0.243616476655006,0.0646088421344757,1,,,,,,,,,,,,,,,,
,3844658471.25723,7.04479050636291,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,6.6776065826416,7.38109445571899,100.084869384766,100.084869384766,,,4.45700454711914,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,7.41197443008423,0,4232056832,7.03180274963379,,,0.00604802360298057,0.000304590804199723,0.00610046873690455,0.000304643455277774,0.861328423023224,0.950084626674652,33.3524322509766,0,35,4,200,9.33667397475801E-5,-0.245801001787186,0.0544554926455021,1,,,,,,,,,,,,,,,,
,3844658481.41224,7.83081674575806,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,7.47385787963867,8.17209243774414,100.084869384766,100.084869384766,,,4.59558582305908,,1,0,0,0,0.000152587890625,32.2580642700195,6,1,1,8.18777561187744,0,4232056832,7.82413663864136,,,0.00609836896723706,0.000307123720937723,0.00615116220228511,0.00030717466828335,0.861388266086578,0.950105726718903,33.3525848388672,5.77516984939575,35,4,200,0.000100047676824033,-0.2475915402174,0.0552367493510246,1,,,,,,,,,,,,,,,,
,3844658491.60249,8.63335752487183,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,8.26202297210693,8.9532299041748,100.084869384766,100.084869384766,,,4.71563005447388,,1,0,0,0,0.000152587890625,32.2580642700195,6,1,1,9.00469207763672,0,4232056832,8.62674512863159,,,0.006155930654386,0.000310019169017009,0.00620904514686157,0.000310065472967969,0.861468434333801,0.950092375278473,33.3528900146484,5.77519607543945,35,4,200,0.00010072581062559,-0.249652311205864,0.0560989566147327,1,,,,,,,,,,,,,,,,
,3844658501.34891,9.38858795166016,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,9.00469207763672,9.74041366577148,100.084869384766,100.084869384766,,,4.81901502609253,,1,0,0,0,0.000152587890625,30.3030319213867,6,1,1,9.77248382568359,0,4232056832,9.37749099731445,,,0.00621770921355129,0.000313127109241402,0.00627126731214986,0.000313173248085482,0.861542284488678,0.95005589723587,33.3532676696777,0,35,4,200,0.000111029366962612,-0.251873224973679,0.0570162758231163,1,,,,,,,,,,,,,,,,
,3844658511.5196,10.1929788589478,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,9.80743885040283,10.5393466949463,100.084869384766,100.084869384766,,,4.9144458770752,,1,0,0,0,0.000152587890625,31.7693061828613,6,1,1,10.5785188674927,0,4232056832,10.1806658744812,,,0.00628962246626726,0.000316746983306295,0.00634384367349346,0.000316797916985851,0.861580193042755,0.950031578540802,33.3535308837891,,35,4,200,0.000113814225187525,-0.254494398832321,0.0580850578844547,1,,,,,,,,,,,,,,,,
,3844658521.70634,10.9937801361084,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,10.6235494613647,11.3427972793579,100.084869384766,100.084869384766,,,5.40373706817627,,1,0,0,0,0.0002288818359375,32.7468223571777,6,1,1,11.3640108108521,0,4232056832,10.9802655220032,,,0.00636988541178994,0.000320783136830107,0.0064246770719446,0.000320834566388299,0.861710786819458,0.950031399726868,33.3539657592773,0,35,4,200,0.000126127284602262,-0.257412970066071,0.0592546835541725,1,,,,,,,,,,,,,,,,
,3844658531.85342,11.7830452919006,100.084869384766,,,6,,,,33.8420636829573,,,100,,,,,,,,,,,,,,,,,,,,,,11.4143934249878,12.1211185455322,100.084869384766,100.084869384766,,,5.50053405761719,,1,0,0,0,0.0002288818359375,32.2580642700195,6,1,1,12.1516971588135,0,4232056832,11.769552898407,,,0.0064607148870994,0.000325353450866626,0.0065160751563126,0.000325399628594754,0.861794233322144,0.94998174905777,33.3543739318848,0.0736381262540817,35,4,200,0.000127338775200769,-0.260720103979111,0.0605811551213265,1,,,,,,,,,,,,,,,,
