[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3870598780.98006,08/25/2022,2:19 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK273,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,2.3,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,66.53,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3870598925.33135,299.995223999023,-70000.375,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,299.989440917969,300.007873535156,-70000.375,-70000.375,,,7.52901315689087,,1,0,0,0,0.0138092041015625,30.3030319213867,1,1,1,299.994415283203,0,4232058624,299.999000950863,,,-0.123237890580536,0.00610471135657362,-0.123242401185821,0.00610472254783408,0.966021955013275,0.967059910297394,33.3540687561035,0,35,4,200,-0.00227928441017866,-4.78715467453003,4.8359808921814,1,,,,,,,,,,,,,,,,
,3870598961.34992,300.028839111328,-65000.49609375,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.026763916016,300.045166015625,-65000.49609375,-65000.49609375,,,7.5563645362854,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,300.027069091797,0,4232058624,300.036318969727,,,-0.123025724270572,0.00609406063745381,-0.123028752513161,0.00609406653676654,0.966696202754974,0.967413127422333,33.3485298156738,,35,4,200,0.000649570720270276,-1.19184160232544,4.83200788497925,1,,,,,,,,,,,,,,,,
,3870598994.42368,300.041091918945,-60000.44140625,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.027008056641,300.057922363281,-60000.44140625,-60000.44140625,,,7.59867906570435,,1,0,0,0,0,30.7917900085449,1,1,1,300.05517578125,0,4232058592,300.049572753906,,,-0.122785848079403,0.0060820620427603,-0.12278788131777,0.00608206712942892,0.967285931110382,0.967769622802734,33.3437194824219,0.337672889232636,35,4,200,0.00149290624540299,-1.18519937992096,4.83238935470581,1,,,,,,,,,,,,,,,,
,3870599027.3729,300.118865966797,-55000.453125,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.101043701172,300.137176513672,-55000.453125,-55000.453125,,,7.59226608276367,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.136688232422,0,4232058624,300.127648925781,,,-0.122509191173258,0.00606826067036143,-0.122510575493939,0.00606826607908761,0.967771112918854,0.968095362186432,33.3397560119629,INF,35,4,200,0.00201753433793783,-1.17505919933319,4.81405210494995,1,,,,,,,,,,,,,,,,
,3870599058.14731,300.13020324707,-50000.4140625,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.122222900391,300.143920898438,-50000.4140625,-50000.4140625,,,7.61179685592651,,1,0,0,0,0,32.7468223571777,1,1,1,300.123199462891,0,4232058560,300.135000610352,,,-0.122212636786403,0.00605348400935506,-0.122213387215076,0.00605348644371599,0.968235790729523,0.968416750431061,33.3353042602539,0,35,4,200,0.00254688668064773,-1.16669046878815,4.80406284332275,1,,,,,,,,,,,,,,,,
,3870599089.51437,300.073471069336,-45000.328125,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.066253662109,300.086212158203,-45000.328125,-45000.328125,,,7.6514949798584,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.067016601562,0,4232058688,300.077877807617,,,-0.121865445079003,0.0060361957864878,-0.121865859478625,0.00603619808213925,0.968698501586914,0.96879506111145,33.3317756652832,,35,4,200,0.00271851732395589,-1.15951824188232,4.79222345352173,1,,,,,,,,,,,,,,,,
,3870599119.37651,300.045761108398,-40000.2890625,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.034423828125,300.060363769531,-40000.2890625,-40000.2890625,,,7.6515007019043,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.034851074219,0,4232058624,300.050866699219,,,-0.121472236421742,0.00601665684650749,-0.121472404545901,0.00601665725386792,0.969042658805847,0.969085216522217,33.3286094665527,0,35,4,200,0.0028253027703613,-1.15019524097443,4.78096675872803,1,,,,,,,,,,,,,,,,
,3870599149.21948,299.983367919922,-35000.28515625,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,299.977905273438,299.994110107422,-35000.28515625,-35000.28515625,,,7.65430784225464,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,299.978698730469,0,4232058688,299.987194824219,,,-0.121002716166385,0.00599333802600789,-0.121002792483257,0.00599333889102874,0.96937108039856,0.96938693523407,33.3261985778809,,35,4,200,0.00289423274807632,-1.14808547496796,4.75898933410645,1,,,,,,,,,,,,,,,,
,3870599180.51868,299.993026733398,-30000.44140625,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,299.980072021484,300.007171630859,-30000.44140625,-30000.44140625,,,7.69357872009277,,1,0,0,0,0.0138092041015625,31.2805480957031,1,1,1,300.005981445313,0,4232058464,299.998992919922,,,-0.120401803850411,0.00596352190277072,-0.12040183901309,0.00596352229700356,0.969654440879822,0.969661891460419,33.325008392334,0,35,4,200,0.00287683913484216,-1.13101494312286,4.74578952789307,1,,,,,,,,,,,,,,,,
,3870599209.82999,300.027435302734,-25000.451171875,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.021209716797,300.038787841797,-25000.451171875,-25000.451171875,,,7.70157432556152,,1,0,0,0,0,30.7917900085449,1,1,1,300.022155761719,0,4232058624,300.031616210937,,,-0.119599079777443,0.00592371883830479,-0.119599083663712,0.00592371894739567,0.969913721084595,0.969914197921753,33.3230934143066,0,35,4,200,0.00290034920908511,-1.12273526191711,4.71429538726807,1,,,,,,,,,,,,,,,,
,3870599239.1298,300.019744873047,-20000.36328125,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.012451171875,300.032409667969,-20000.36328125,-20000.36328125,,,7.70045518875122,,1,0,0,0,0.0018310546875,31.2805480957031,1,1,1,300.012603759766,0,4232058656,300.023635864258,,,-0.118441649300967,0.00586633985052592,-0.118441647180225,0.00586633954915918,0.970212161540985,0.970213294029236,33.321475982666,5.26804685592651,35,4,200,0.0028436672873795,-1.11091148853302,4.66942119598389,1,,,,,,,,,,,,,,,,
,3870599272.1803,300.082763671875,-15000.2265625,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.060302734375,300.106903076172,-15000.2265625,-15000.2265625,,,7.73133659362793,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.105224609375,0,4232058464,300.094137573242,,,-0.116579516288058,0.00577406203568224,-0.116579515671507,0.00577406186560348,0.97048407793045,0.970484912395477,33.3216209411621,0.189806029200554,35,4,200,0.00255376170389354,-1.08554494380951,4.59402465820313,1,,,,,,,,,,,,,,,,
,3870599304.86472,300.11882019043,-10000.236328125,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.099853515625,300.138458251953,-10000.236328125,-10000.236328125,,,7.74364519119263,,1,0,0,0,0.0003814697265625,31.2805480957031,1,1,1,300.137786865234,0,4232058528,300.128146362305,,,-0.112934010512393,0.0055934569228196,-0.112934012199825,0.00559345680804692,0.970772683620453,0.970773875713348,33.3214454650879,0,35,4,200,0.00242068246006966,-1.04927599430084,4.45319986343384,1,,,,,,,,,,,,,,,,
,3870599341.9741,300.191421508789,-9500.47265625,,,6,,,,33.3224563598633,,,100,,,,,,,,,,,,,,,,,,,,,,300.189483642578,300.21044921875,-9500.47265625,-9500.47265625,,,7.74064159393311,,1,0,0,0,0.0138092041015625,30.7917900085449,1,1,1,300.190795898438,0,4232058688,300.200527954102,,,-0.112347796425759,0.00556441136602396,-0.112347795691293,0.00556441129194863,0.970834851264954,0.970835089683533,33.3220138549805,8.13303631730378E-6,35,4,200,0.00505106803029776,-1.049072265625,4.42832612991333,1,,,,,,,,,,,,,,,,
