[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3889699640.4701,04/03/2023,5:08 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK273S,SAMPLE_MATERIAL
INFO,,SAMPLE_COMMENT
INFO,1.9,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,64.75,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3889699779.0234,300.087783813477,-70000.2578125,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.074279785156,300.106201171875,-70000.2578125,-70000.2578125,,,8.03248119354248,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.101287841797,0,2084575072,300.095304790296,,,-0.0103197224869719,0.0005180587459252,-0.0103292515583162,0.000518067563336218,0.886329293251038,0.894496738910675,34.544563293457,0.313857227563858,35,4,200,-0.0225375182926655,-4.70618963241577,4.68538808822632,1,,,,,,,,,,,,,,,,
,3889699814.84824,300.130950927734,-65000.484375,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.119171142578,300.145599365234,-65000.484375,-65000.484375,,,8.05258083343506,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.142730712891,0,2084574976,300.137875366211,,,-0.0103350345003003,0.000518546859589529,-0.0103434561221074,0.000518554937108959,0.891132652759552,0.898649752140045,34.5350761413574,8.54142781463452E-5,35,4,200,0.00986105483025312,-1.47051966190338,3.9928023815155,1,,,,,,,,,,,,,,,,
,3889699844.08518,300.124862670898,-60000.41796875,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.120269775391,300.134826660156,-60000.41796875,-60000.41796875,,,8.05176544189453,,1,0,0,0,0.013885498046875,32.2580642700195,1,1,1,300.129455566406,0,2084575040,300.130187988281,,,-0.0103456492726744,0.000518789257854891,-0.0103528544452279,0.000518795926574764,0.896333158016205,0.903077960014343,34.5240211486816,0.000381791178369895,35,4,200,0.0217954162508249,-1.51205742359161,4.0131664276123,1,,,,,,,,,,,,,,,,
,3889699877.21091,300.149978637695,-55000.453125,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.133880615234,300.169372558594,-55000.453125,-55000.453125,,,8.06459426879883,,1,0,0,0,0.013885498046875,32.2580642700195,1,1,1,300.166076660156,0,2084575008,300.159375,,,-0.0103508793004533,0.000518773994117839,-0.0103570967241104,0.000518780900241506,0.901572167873383,0.90767240524292,34.5140724182129,0.192108109593391,35,4,200,0.0250355359166861,-1.41851437091827,4.0913233757019,1,,,,,,,,,,,,,,,,
,3889699909.98254,300.143005371094,-50000.4140625,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.132202148438,300.159423828125,-50000.4140625,-50000.4140625,,,8.10264015197754,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.15380859375,0,2084574944,300.151309204102,,,-0.0103542454237765,0.000518685883246365,-0.0103595201424037,0.000518691406104291,0.906688630580902,0.912148416042328,34.504150390625,5.435457569547E-5,35,4,200,0.0284881331026554,-1.35103976726532,4.03174257278442,1,,,,,,,,,,,,,,,,
,3889699939.23131,300.170288085937,-45000.25390625,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.155670166016,300.184722900391,-45000.25390625,-45000.25390625,,,8.09785079956055,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.184906005859,0,2084574688,300.177337646484,,,-0.0103542603604593,0.000518453691755849,-0.0103587287705452,0.00051845617806325,0.911588966846466,0.916516482830048,34.4954223632812,0,35,4,200,0.032267726957798,-1.27957630157471,4.08231782913208,1,,,,,,,,,,,,,,,,
,3889699971.86389,300.219985961914,-40000.2890625,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.205230712891,300.240051269531,-40000.2890625,-40000.2890625,,,8.10678577423096,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.234741210937,0,2084575104,300.22975769043,,,-0.0103483468654901,0.000517944575528869,-0.0103522054346735,0.000517949166030196,0.916340172290802,0.920779287815094,34.4871711730957,5.87257766723633,35,4,200,0.0321031212806702,-1.3149516582489,4.14463663101196,1,,,,,,,,,,,,,,,,
,3889700001.59993,300.199157714844,-35000.46875,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.191741943359,300.21435546875,-35000.46875,-35000.46875,,,8.13699626922607,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.206573486328,0,2084574848,300.206530761719,,,-0.0103369918912157,0.000517177759029099,-0.0103401816131503,0.000517180140837078,0.92102187871933,0.924944579601288,34.4785614013672,0.000153264350956306,35,4,200,0.0331791490316391,-1.27473473548889,4.05807256698608,1,,,,,,,,,,,,,,,,
,3889700031.28835,300.138961791992,-30000.18359375,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.121551513672,300.156646728516,-30000.18359375,-30000.18359375,,,8.14275741577148,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.121276855469,0,2084574880,300.142987060547,,,-0.0103139096626421,0.000515834294358546,-0.0103164232318793,0.000515836451081144,0.925769627094269,0.929051578044891,34.4682579040527,0.000676569063216448,35,4,200,0.0332010723650455,-1.16451549530029,4.14736318588257,1,,,,,,,,,,,,,,,,
,3889700062.10606,300.114624023438,-25000.29296875,,,6,,,,34.3862152099609,,,10,,,,,,,,,,,,,,,,,,,,,,300.102508544922,300.130096435547,-25000.29296875,-25000.29296875,,,8.14307594299316,,1,0,0,0,0.013885498046875,32.2580642700195,1,1,1,300.126739501953,0,2084574880,300.121536254883,,,-0.0102767143570127,0.000513812734215102,-0.0102788072830686,0.000513814612247772,0.93010002374649,0.933008074760437,34.461254119873,0,35,4,200,0.0326949767768383,-1.16868770122528,4.12038850784302,1,,,,,,,,,,,,,,,,
