[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3885184764.09569,02/10/2023,10:00 am
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK316,SAMPLE_MATERIAL
INFO,0.7 mg KMK273S + 0.8 mg KMK245S,SAMPLE_COMMENT
INFO,1.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Straw,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.04,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3885184905.7903,300.071807861328,-70000.484375,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.071472167969,300.084777832031,-70000.484375,-70000.484375,,,7.6686372756958,,1,0,0,0,0.0138092041015625,32.2580642700195,1,1,1,300.072082519531,0,4232058720,300.077542114258,,,-0.00672520877941339,0.000338234992744837,-0.00673020762359352,0.00033824068098002,0.871320009231567,0.876999378204346,32.4240226745605,0,35,4,200,-0.0310618467628956,-1.33110356330872,2.43659639358521,1,,,,,,,,,,,,,,,,
,3885184938.04605,300.104705810547,-65000.30859375,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.096710205078,300.123321533203,-65000.30859375,-65000.30859375,,,7.69309616088867,,1,0,0,0,0.013885498046875,32.2580642700195,1,1,1,300.112701416016,0,4232058624,300.114505004883,,,-0.00675057017459241,0.000339244576543469,-0.00675510511590502,0.00033925043934716,0.877458095550537,0.882838726043701,32.4170417785645,0,35,4,200,0.00549350306391716,-1.1253776550293,2.54898571968079,1,,,,,,,,,,,,,,,,
,3885184970.46098,300.127136230469,-60000.19921875,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.124053955078,300.142486572266,-60000.19921875,-60000.19921875,,,7.7027530670166,,1,0,0,0,0,32.7468223571777,1,1,1,300.130218505859,0,4232058592,300.134219360352,,,-0.00677017499076404,0.000339906021536123,-0.0067739979067752,0.000339908895564159,0.885375082492828,0.890269577503204,32.4066848754883,0,35,4,200,0.0174104459583759,-1.06773614883423,2.65782642364502,1,,,,,,,,,,,,,,,,
,3885184999.98307,300.125579833984,-55000.42578125,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.123260498047,300.139129638672,-55000.42578125,-55000.42578125,,,7.71378231048584,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.123687744141,0,4232058784,300.132205200195,,,-0.00679129911584629,0.000340669533206185,-0.00679456085801471,0.000340672118899676,0.893149435520172,0.897617161273956,32.3971328735352,0.000177527414052747,35,4,200,0.0241779237985611,-1.02953672409058,2.67246961593628,1,,,,,,,,,,,,,,,,
,3885185032.9694,300.156173706055,-50000.4296875,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.140991210937,300.177673339844,-50000.4296875,-50000.4296875,,,7.73474740982056,,1,0,0,0,0,32.2580642700195,1,1,1,300.171356201172,0,4232058688,300.166806030273,,,-0.00680288471672956,0.000340948308648646,-0.00680569973140423,0.000340950157176089,0.901699721813202,0.905904710292816,32.3891448974609,0,35,4,200,0.0264730546623468,-0.952652633190155,2.63877725601196,1,,,,,,,,,,,,,,,,
,3885185063.876,300.168441772461,-45000.328125,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.167816162109,300.186584472656,-45000.328125,-45000.328125,,,7.74544858932495,,1,0,0,0,0,32.7468223571777,1,1,1,300.169067382812,0,4232058656,300.177276611328,,,-0.00681630164153594,0.000341367285650547,-0.00681868328644538,0.000341368807172151,0.909491837024689,0.913354933261871,32.3806190490723,0,35,4,200,0.0286169182509184,-0.916907668113709,2.66609907150269,1,,,,,,,,,,,,,,,,
,3885185095.8598,300.198287963867,-40000.3515625,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.188873291016,300.219940185547,-40000.3515625,-40000.3515625,,,7.74945116043091,,1,0,0,0,0.013885498046875,31.7693061828613,1,1,1,300.207702636719,0,4232058592,300.210003662109,,,-0.00682640368422849,0.000341636685852825,-0.00682844883821067,0.000341639158765467,0.917428493499756,0.921023786067963,32.3729133605957,0.191788166761398,35,4,200,0.0292344149202108,-0.953226923942566,2.73511385917664,1,,,,,,,,,,,,,,,,
,3885185128.93231,300.230377197266,-35000.3203125,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.227142333984,300.251556396484,-35000.3203125,-35000.3203125,,,7.76334428787231,,1,0,0,0,0.013885498046875,32.7468223571777,1,1,1,300.233612060547,0,4232058592,300.241381835937,,,-0.00683351969242625,0.000341781744968823,-0.0068352203130529,0.000341783810830296,0.925229012966156,0.92853170633316,32.3649787902832,5.21706104278564,35,4,200,0.0297472029924393,-0.868284225463867,2.70833253860474,1,,,,,,,,,,,,,,,,
,3885185160.45114,300.159362792969,-30000.234375,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.148284912109,300.174133300781,-30000.234375,-30000.234375,,,7.77509641647339,,1,0,0,0,0.013885498046875,32.2580642700195,1,1,1,300.147888183594,0,4232058496,300.164944458008,,,-0.0068372430039545,0.000341787526473528,-0.00683861215213349,0.000341788717126734,0.932618379592895,0.935591161251068,32.3567962646484,0,35,4,200,0.0311485659331083,-0.808952987194061,2.75821113586426,1,,,,,,,,,,,,,,,,
,3885185191.34338,300.095199584961,-25000.416015625,,,6,,,,32.2820510864258,,,10,,,,,,,,,,,,,,,,,,,,,,300.090393066406,300.110900878906,-25000.416015625,-25000.416015625,,,7.78035116195679,,1,0,0,0,0.013885498046875,32.2580642700195,1,1,1,300.097473144531,0,4232058464,300.102966308594,,,-0.00683186839831189,0.000341355486211922,-0.00683298079167824,0.000341356207488328,0.940101683139801,0.942837834358215,32.3497009277344,0.191491559147835,35,4,200,0.0304121430963278,-0.762818992137909,2.69018054008484,1,,,,,,,,,,,,,,,,
