[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3885200059.74211,02/10/2023,2:14 pm
BYAPP,MPMS3 w/ AC,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 J0,MOTOR_HW_VERSION
INFO,MMC721,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM195,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,SQUID AC,AC_MODULE_NAME
INFO,3101-401 f1,AC_HW_VERSION
INFO,SAC107,AC_SERIAL_NUMBER
INFO,SQUID AC 00.95.07,AC_SOFTWARE_VERSION
INFO,TCI166,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,KMK316,SAMPLE_MATERIAL
INFO,0.7 mg KMK273S + 0.8 mg KMK245S,SAMPLE_COMMENT
INFO,1.5,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Standard,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,67.04,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,56,57,58,59,60,61,62,63,64,65,66,67,68,69
FIELDGROUP, AC, 2,3,4,11,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),AC Moment (emu),AC M. Std Err. (emu),AC Phase (deg),AC Phase Std. Err. (deg),AC Susceptibility (emu/Oe),AC Suscept. Std Err. (emu/Oe),AC X' (emu/Oe),AC X' Std Err. (emu/Oe),AC X'' (emu/Oe),AC X'' Std Err. (emu/Oe),AC Drive (Oe),AC Frequency (Hz),AC Averaging Time (sec),AC Cycles,AC Range,AC Measure Type,AC Signal' (V),AC Signal'' (V),AC Trim Coil Ratio,AC Trim Coil Phase,Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Evercool Status,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3885201198.73341,5.00261688232422,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,4.9978814125061,5.00251054763794,100.133750915527,100.133750915527,,,4.23084211349487,,1,0,0,0,0.0191497802734375,31.7693061828613,1,1,1,5.0027232170105,0,4232058752,5.00026021003723,,,0.00135259786022317,6.75917341113881E-5,0.0013547866806535,6.75930035670263E-5,0.937942862510681,0.974270403385162,31.1345596313477,0,35,4,200,0.000170725717907771,-0.500984668731689,0.157454580068588,1,,,,,,,,,,,,,,,,
,3885201215.70078,5.61857104301453,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,5.24462080001831,5.94601535797119,100.133750915527,100.133750915527,,,4.46915054321289,,1,0,0,0,0.0160980224609375,32.2580642700195,6,1,1,5.99252128601074,0,4232058656,5.5869562625885,,,0.00137483591824044,6.87077105171353E-5,0.00137708383334966,6.87083114240627E-5,0.936848878860474,0.972690045833588,31.1327857971191,,35,4,200,0.000455508910818025,-0.512599885463715,0.161777034401894,1,,,,,,,,,,,,,,,,
,3885201225.65304,6.37744760513306,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,6.01497602462769,6.71174192428589,100.133750915527,100.133750915527,,,4.63769817352295,,1,0,0,0,0.0193023681640625,31.2805480957031,6,1,1,6.73991918563843,0,4232058720,6.35378141403198,,,0.00145401704118755,7.26741869820356E-5,0.00145638290582894,7.26755682528315E-5,0.934846520423889,0.967752873897553,31.1340007781982,0,35,4,200,0.000941379461437464,-0.545769989490509,0.175270318984985,1,,,,,,,,,,,,,,,,
,3885201235.35363,7.12523245811462,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,6.75652360916138,7.46180725097656,100.133750915527,100.133750915527,,,4.79132032394409,,1,0,0,0,0.01953125,31.2805480957031,6,1,1,7.49394130706787,0,4232058720,7.11049427986145,,,0.00156486745018083,7.8212978260927E-5,0.00156739040037762,7.82148903195246E-5,0.935181438922882,0.967801332473755,31.1353740692139,0.191534399986267,35,4,200,0.00100445176940411,-0.584863424301148,0.190651744604111,1,,,,,,,,,,,,,,,,
,3885201245.09031,7.86450600624084,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,7.51128435134888,8.21772766113281,100.133750915527,100.133750915527,,,4.93126773834229,,1,0,0,0,0.01922607421875,31.7693061828613,6,1,1,8.21772766113281,0,4232058720,7.85844721794129,,,0.00167828063027651,8.38769628993256E-5,0.00168093309071818,8.38782742382859E-5,0.936002910137177,0.968752682209015,31.1369171142578,,35,4,200,0.00103027932345867,-0.713059186935425,0.205764502286911,1,,,,,,,,,,,,,,,,
,3885201254.87463,8.63136863708496,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,8.26113986968994,8.95891857147217,100.133750915527,100.133750915527,,,5.08254384994507,,1,0,0,0,0.018463134765625,31.2805480957031,6,1,1,9.00159740447998,0,4232058656,8.60551462173462,,,0.00178924433542669,8.94183952715647E-5,0.00179207104590895,8.94208571777032E-5,0.936754941940308,0.969909489154816,31.1377563476562,0,35,4,200,0.00099352840334177,-0.771719813346863,0.111852027475834,1,,,,,,,,,,,,,,,,
,3885201264.60083,9.37981367111206,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,9.00159740447998,9.71586608886719,100.133750915527,100.133750915527,,,5.19902276992798,,1,0,0,0,0.0186920166015625,31.7693061828613,6,1,1,9.75802993774414,0,4232058688,9.36209878921509,,,0.00189224618534863,9.456149802423E-5,0.00189519056709861,9.45638507520555E-5,0.937500953674316,0.970784544944763,31.139181137085,5.5802493095398,35,4,200,0.00091124972095713,-0.807191371917725,0.125207051634789,1,,,,,,,,,,,,,,,,
,3885201274.37535,10.1596546173096,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,9.77935886383057,10.4905586242676,100.133750915527,100.133750915527,,,5.30700540542603,,1,0,0,0,0.019683837890625,31.2805480957031,6,1,1,10.5399503707886,0,4232058688,10.1286256790161,,,0.00198797249223525,9.93427107729009E-5,0.00199104020168931,9.93447277395058E-5,0.937914788722992,0.971392333507538,31.1397609710693,,35,4,200,0.000869462499395013,-0.840191423892975,0.137558162212372,1,,,,,,,,,,,,,,,,
,3885201284.25087,10.9306683540344,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,10.5593366622925,11.2616376876831,100.133750915527,100.133750915527,,,5.40571880340576,,1,0,0,0,0.014801025390625,31.7693061828613,6,1,1,11.3020000457764,0,4232058656,10.9065872192383,,,0.00207399799018677,0.000103637468634914,0.00207718332744796,0.000103640626318091,0.938550412654877,0.972170114517212,31.1409912109375,0,35,4,200,0.000770704122260213,-0.869376659393311,0.148750826716423,1,,,,,,,,,,,,,,,,
,3885201294.08335,11.7039270401001,100.133750915527,,,6,,,,31.3492940071624,,,10,,,,,,,,,,,,,,,,,,,,,,11.330620765686,12.0477542877197,100.133750915527,100.133750915527,,,5.49206161499023,,1,0,0,0,0.0188446044921875,31.7693061828613,6,1,1,12.0772333145142,0,4232058752,11.6834578514099,,,0.00214892063387528,0.000107378136569318,0.00215215005726016,0.000107379435548171,0.939038872718811,0.972728550434113,31.142032623291,0.191446080803871,35,4,200,0.000691817956976593,-0.894726812839508,0.158699855208397,1,,,,,,,,,,,,,,,,
