Temperature (K),Magnetic Field (Oe),DC Moment Free Ctr (emu),Field_True
300.0458832,-70000.22656,-0.096006469,-67649.25
300.0932617,-65000.49609,-0.089170198,-62832.2
300.1218262,-60000.40625,-0.082302696,-57993.13
300.1170959,-55000.47656,-0.075444147,-53160.38
300.1335297,-50000.44922,-0.068583623,-48326.23
300.1128387,-45000.27734,-0.061728292,-43495.75
300.0850677,-40000.21484,-0.054874088,-38666.05
300.1195679,-35000.48047,-0.048013166,-33831.63
300.1684265,-30000.20898,-0.041146826,-28993.38
300.1576538,-25000.35547,-0.034288812,-24161
300.0938263,-20000.23047,-0.027431544,-19329.15
300.0764008,-15000.26367,-0.020572143,-14495.8
300.0024872,-10000.39551,-0.013712747,-9662.44
299.9399719,-9500.25293,-0.013024524,-9177.5
299.9572601,-9000.439453,-0.012337768,-8693.59
300.059082,-8500.24707,-0.01164875,-8208.09
300.1375122,-8000.458496,-0.010962131,-7724.27
300.2181396,-7500.473633,-0.010273677,-7239.16
300.2273102,-7000.489746,-0.009587195,-6755.45
300.1930389,-6500.46875,-0.008901597,-6272.35
300.1356964,-6000.472168,-0.008214944,-5788.51
300.0671692,-5500.402344,-0.007528679,-5304.95
300.0126343,-5000.320313,-0.006842428,-4821.4
299.9716644,-4500.348145,-0.006156937,-4338.38
299.9606171,-4000.326904,-0.005468421,-3853.23
300.0404968,-3500.452637,-0.004781496,-3369.2
300.069931,-3000.248291,-0.00409265,-2883.81
300.0875244,-2500.398438,-0.003405237,-2399.44
300.1496582,-2000.206299,-0.002715563,-1913.47
300.2129059,-1500.283081,-0.002025528,-1427.25
300.1358185,-1000.249756,-0.001336213,-941.54
300.1558838,-800.4344482,-0.001064175,-749.85
300.1414337,-790.2537231,-0.001044357,-735.89
300.144928,-780.2439575,-0.0010313,-726.69
300.1530304,-770.2709351,-0.001015628,-715.64
300.1609344,-760.2856445,-0.001002102,-706.11
300.1812134,-750.288208,-0.0009877,-695.97
300.2083893,-740.2418213,-0.000976004,-687.72
300.2073669,-730.2076416,-0.00097382,-686.18
300.1534576,-720.2224121,-0.000946957,-667.26
300.0568542,-710.2249146,-0.000930731,-655.82
300.0077667,-700.2518921,-0.000919593,-647.97
299.9950562,-690.1932983,-0.000905117,-637.77
300.021637,-680.2202148,-0.000891988,-628.52
300.0671539,-670.2716064,-0.000876596,-617.68
300.0454865,-660.1763306,-0.000862553,-607.78
300.0329437,-650.2155151,-0.000850199,-599.08
300.0803223,-640.2302856,-0.000836902,-589.71
300.1668549,-630.1838989,-0.00082306,-579.95
300.1442108,-620.4797363,-0.000810023,-570.77
300.0862427,-610.4822388,-0.00079512,-560.27
300.0913849,-600.423645,-0.000782971,-551.71
300.1387634,-590.4261475,-0.000769801,-542.43
300.1700439,-580.4286499,-0.000755227,-532.16
300.186264,-570.4434204,-0.000740221,-521.58
300.2563324,-560.4581909,-0.000727034,-512.29
300.2987823,-550.4362183,-0.000710846,-500.89
300.3133698,-540.3287354,-0.000699993,-493.24
300.3244781,-530.380127,-0.000685582,-483.08
300.2792969,-520.3337402,-0.000670014,-472.11
300.1863708,-510.3240356,-0.000655379,-461.8
300.168457,-500.3632202,-0.000643631,-453.52
300.2005615,-490.3534851,-0.000627416,-442.1
300.1777191,-480.3560486,-0.000614216,-432.8
300.2183533,-470.2607422,-0.000601298,-423.69
300.2611084,-460.3488159,-0.000589074,-415.08
300.2405853,-450.3391113,-0.000573376,-404.02
300.2425385,-440.3294067,-0.000561495,-395.65
300.2520752,-430.2585754,-0.000547248,-385.61
300.2937927,-420.2610779,-0.000532415,-375.16
300.3225098,-410.2758484,-0.000517602,-364.72
300.3422852,-400.2905884,-0.000504475,-355.47
300.2947845,-390.2442017,-0.000491739,-346.49
300.2219238,-380.3689575,-0.00047776,-336.65
300.1965027,-370.383667,-0.000462597,-325.96
300.2095947,-360.398407,-0.000449055,-316.42
300.1365051,-350.3764648,-0.000437672,-308.4
300.0901794,-340.3667603,-0.000421925,-297.3
300.0952454,-330.3815002,-0.000409683,-288.68
300.0332031,-320.3595581,-0.000395019,-278.34
300.001358,-310.3865356,-0.000376766,-265.48
300.0562744,-300.3645935,-0.000365647,-257.65
300.1086578,-290.3548889,-0.000352406,-248.32
300.1257324,-280.3573914,-0.000339876,-239.49
300.1560516,-270.3232422,-0.000324897,-228.93
300.1581116,-260.3013306,-0.00030993,-218.39
300.1754608,-250.3160553,-0.000297304,-209.49
300.1545715,-240.2696838,-0.000283417,-199.71
300.1458588,-230.3699646,-0.000270207,-190.4
300.2150726,-220.3480377,-0.000254646,-179.43
300.2275391,-210.3138733,-0.000242916,-171.17
300.1728668,-200.3041687,-0.000228002,-160.66
300.1445465,-190.2944641,-0.000214088,-150.85
300.1508331,-180.3092041,-0.000198816,-140.09
300.1338196,-170.287262,-0.000184379,-129.92
300.10289,-160.302002,-0.000172479,-121.53
300.0442047,-150.2189636,-0.000158625,-111.77
300.070694,-140.2214813,-0.000144403,-101.75
300.0816498,-130.1995392,-0.000129606,-91.32
300.0706329,-120.2631683,-0.000116748,-82.26
300.0753021,-110.2412338,-0.000102548,-72.26
300.1155243,-100.2315292,-0.0000876,-61.72
300.1454468,-90.22182465,-0.0000759,-53.48
300.1136627,-80.23655701,-0.0000608,-42.86
300.077713,-70.22684479,-0.0000462,-32.54
300.093277,-60.22935867,-0.0000302,-21.28
300.1049347,-50.21965027,-0.000019,-13.41
300.0712128,-40.19771957,-0.00000572,-4.03
300.0466156,-30.17579079,0.00000785,5.53
300.100235,-20.14163589,0.000022,15.5
300.1314392,-10.15637112,0.000037,26.08
300.1607056,-0.281102926,0.0000477,33.59
300.1759644,10.02193069,0.0000666,46.91
300.1345978,20.06830406,0.0000779,54.87
300.0892792,30.02912521,0.0000922,65
300.1021881,40.05105972,0.000105695,74.48
300.1026306,50.09743118,0.000120249,84.73
300.0643158,60.08269501,0.000134256,94.6
300.0411377,70.08018494,0.000148699,104.78
300.0664978,80.12656403,0.000161649,113.9
300.1140594,90.11182404,0.000176292,124.22
300.1391144,100.1704178,0.000190742,134.4
300.1100922,110.1679077,0.000208107,146.64
300.0735168,120.16539,0.000218483,153.95
300.0437012,130.1995392,0.000232855,164.08
300.0244293,140.2337036,0.00024536,172.89
300.0830688,150.2311859,0.000256588,180.8
300.1238708,160.2286682,0.000275503,194.13
300.1394043,170.2383728,0.000286678,202
300.1176147,180.2480927,0.0003036,213.93
300.0806427,190.2700195,0.000313637,221
300.0744324,200.2186279,0.000328107,231.19
300.1437531,210.1305389,0.000342722,241.49
300.1171722,220.1280365,0.000356509,251.21
